Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Circunstâncias Preponderantes,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Menor de 21 ou Maior de 70,Confissão Espontânea,Comparação Pena Provisória,Tráfico Privilegiado,Conversão da Pena
1532238-13.2021.8.26.0050,Tráfico de Drogas,SÃO PAULO,Vara do Juizado Especial Criminal,JOSE FERNANDO STEINBERG,N/A,N/A,N/A,Não,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500075-51.2021.8.26.0673,Tráfico de Drogas,Flórida Paulista,Vara do Juizado Especial Cível e Criminal,Ruth Duarte Menegatti,120,120,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Sim,N/A,Não,Não convertida
1500174-04.2020.8.26.0593,Tráfico de Drogas,Marília,1ª Vara Criminal,Josiane Patricia Cabrini Martins Machado,2125,2125,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1501301-33.2019.8.26.0618,Tráfico de Drogas,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A
1500723-70.2022.8.26.0196,Tráfico de Drogas,Franca,2ª Vara Criminal,EWERTON MEIRELIS GONCALVES,1825,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
0000871-97.2017.8.26.0272,Tráfico de Drogas,Itapira,2ª Vara,Helia Regina Pichotano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004762-54.2015.8.26.0642,Tráfico de Drogas,Ubatuba,2ª Vara,Dr(a). Fabricio Jose Pinto Dias,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004273-94.2015.8.26.0196,Tráfico de Drogas,Franca,2ª Vara Criminal,EWERTON MEIRELIS GONCALVES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1529615-24.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,30ª Vara Criminal,Dr(a). Isaura Cristina Barreira,N/A,2125,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Não,Diferente da base,Não,Não convertida
0002626-21.2011.8.26.0288,Tráfico de Drogas,Ituverava,2ª Vara,JOSE MAGNO LOUREIRO JUNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1505142-10.2021.8.26.0022,Tráfico de Drogas,Amparo,2ª Vara,Fabiola Brito do Amaral,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Sim,Convertida
1501654-08.2021.8.26.0617,Tráfico de Drogas,São José dos Campos,4ª Vara Criminal,Naira Assis Barbosa,1825,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Sim,Convertida
1500678-04.2022.8.26.0540,Tráfico de Drogas,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,N/A,200,N/A,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Não convertida
1501015-57.2022.8.26.0066,Tráfico de Drogas,Barretos,2ª Vara Criminal,LUCIANO DE OLIVEIRA SILVA,2125,2125,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500313-78.2020.8.26.0617,Tráfico de Drogas,São José dos Campos,4ª Vara Criminal,NAIRA ASSIS BARBOSA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500864-39.2022.8.26.0439,Tráfico de Drogas,Pereira Barreto,1ª Vara Judicial,Dr(a). ANA FLÁVIA JORDÃO RAMOS FORNAZARI,1825,1825,Não,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Sim,Sim,Igual à base,Não,Não convertida
1500900-18.2022.8.26.0072,Tráfico de Drogas,Bebedouro,1ª Vara,Neyton Fantoni Júnior,500,583,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1525013-49.2019.8.26.0037,Tráfico de Drogas,Araraquara,3ª Vara Criminal,Roberto Raineri Simão,1825,1825,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
0011810-11.2012.8.26.0047,Tráfico de Drogas,Assis,1ª Vara Criminal,Dr. Adugar Quirino do Nascimento Souza Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000433-41.2018.8.26.0594,Tráfico de Drogas,Bauru,1ª Vara Criminal,Dr. Érica Marcelina Cruz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Uma condenação,N/A,N/A,N/A,N/A,N/A
1501625-29.2020.8.26.0540,Tráfico de Drogas,Santo André,3ª Vara Criminal,BRUNO GONÇALVES MAURO TERRA,N/A,150,Não,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1501460-05.2021.8.26.0618,Tráfico de Drogas,Tremembé,2ª Vara,JULIANA GUIMARAES ORNELLAS,1825,705,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Convertida
1501034-65.2021.8.26.0594,Tráfico de Drogas,Bauru,1ª Vara Criminal,Dr(a). Érica Marcelina Cruz,1825,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Sim,Diferente da base,Não,Não convertida
1501320-51.2021.8.26.0559,Tráfico de Drogas,Mirassol,2ª Vara,ANDRÉ DA FONSECA TAVARES,500,500,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
0004367-42.2014.8.26.0272,Tráfico de Drogas,Itapira,2ª Vara,Helia Regina Pichotano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501078-69.2021.8.26.0599,Tráfico de Drogas,Piracicaba,3ª Vara Criminal,Rodrigo Pares Andreucci,1825,608,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1500046-85.2022.8.26.0569,Tráfico de Drogas,Itu,2ª Vara Criminal e do Júri,Hélio Villaça Furukawa,1825,850,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Sim,Não convertida
1500778-03.2021.8.26.0569,Tráfico de Drogas,Itu,2ª Vara Criminal e do Júri,Hélio Villaça Furukawa,1825,1825,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Sim,Igual à base,Não,Não convertida
1500896-32.2021.8.26.0616,Tráfico de Drogas,Itaquaquecetuba,2ª Vara Criminal,Sérgio Cedano,1825,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1500470-39.2020.8.26.0621,Tráfico de Drogas,Cachoeira Paulista,1ª Vara,BRUNO SANTOS VILELA,2050,2308,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1501096-82.2021.8.26.0537,Tráfico de Drogas,São Bernardo do Campo,2ª Vara Criminal,FERNANDA ALVES DA ROCHA BRANCO DE OLIVA POLITI,583,680,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1502425-32.2021.8.26.0537,Tráfico de Drogas,Diadema,2ª Vara Criminal,Patrícia Helena Hehl Forjaz de Toledo,240,300,N/A,N/A,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,N/A,Não convertida
1500270-19.2022.8.26.0441,Tráfico de Drogas,Peruíbe,1ª Vara,JOÃO COSTA RIBEIRO NETO,2555,2490,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1503310-13.2021.8.26.0548,Tráfico de Drogas,Campinas,3ª Vara Criminal,BRUNO LUIZ CASSIOLATO,N/A,N/A,Não,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1503141-26.2021.8.26.0548,Tráfico de Drogas,Campinas,5ª Vara Criminal,LISSANDRA REIS CECCON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0076498-60.2018.8.26.0050,Tráfico de Drogas,SÃO PAULO,14ª Vara Criminal,Fernando Augusto Andrade Conceição,1825,605,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Sim,Não convertida
1500459-60.2021.8.26.0593,Tráfico de Drogas,Marília,2ª Vara Criminal,PAULO GUSTAVO FERRARI,583,680,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500048-96.2022.8.26.0426,Tráfico de Drogas,Patrocínio Paulista,Vara Única,DANIEL DIEGO CARRIJO,1825,1825,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não convertida
1500176-27.2022.8.26.0585,Tráfico de Drogas,Presidente Venceslau,1ª Vara,GABRIEL MEDEIROS,600,700,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Igual à base,Não,Não convertida
1500182-87.2022.8.26.0632,Tráfico de Drogas,Santa FÉ do Sul,1ª Vara,Dr. José Gilberto Alves Braga Júnior,1825,2920,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1500611-20.2022.8.26.0417,Tráfico de Drogas,Paraguaçu Paulista,3ª Vara,VICTOR GAVAZZI CESAR,N/A,175,Não,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,N/A,Não,Não convertida
1500275-84.2022.8.26.0556,Tráfico de Drogas,Araraquara,1ª Vara Criminal,Adriana Albergueti Albano,2190,1520,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Sim,Diferente da base,Não,Não convertida
1501647-19.2021.8.26.0616,Tráfico de Drogas,Suzano,2ª Vara Criminal,José Eugenio Do Amaral Souza Neto,2280,2280,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
1501840-43.2022.8.26.0537,Tráfico de Drogas,Diadema,3ª Vara Criminal,Maria da Conceição Pinto Vendeiro,1825,910,Sim,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Sim,N/A,Não,Convertida
1504495-28.2022.8.26.0362,Tráfico de Drogas,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,500,600,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Não,Não convertida
1504260-61.2022.8.26.0362,Tráfico de Drogas,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,500,680,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500628-69.2021.8.26.0618,Tráfico de Drogas,Taubaté,3ª Vara Criminal,João Carlos Germano,500,166,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Sim,Convertida
1500659-78.2021.8.26.0557,Tráfico de Drogas,Olímpia,Vara Criminal,Eduardo Luiz de Abreu Costa,3040,2530,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1001979-03.2020.8.26.0673,Tráfico de Drogas,SÃO PAULO,1ª Vara das Execuções Criminais,Marcelo Matias Pereira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1520189-51.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,15ª Vara Criminal,Dr(a). PALOMA MOREIRA DE ASSIS CARVALHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500449-04.2022.8.26.0618,Tráfico de Drogas,Taubaté,3ª Vara Criminal,Marcia Beringhs Domingues de Castro,N/A,N/A,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,N/A,N/A,N/A,Não,N/A,N/A,Não,N/A
0001010-17.2018.8.26.0530,Tráfico de Drogas,Ribeirão Preto,1ª Vara Criminal,CAROLINA MOREIRA GAMA,1825,608,Sim,Não,Maus antecedentes,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Sim,Não convertida
1500547-87.2022.8.26.0456,Tráfico de Drogas,Pirapozinho,2ª Vara Judicial,ANNA SYLVIA RODRIGUES E SILVA,2050,2430,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1505489-57.2021.8.26.0664,Tráfico de Drogas,Votuporanga,2ª Vara Criminal e Da Infância e Juventude,MAURICIO JOSE NOGUEIRA,500,583,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,N/A,Múltiplas condenações,Sim,Sim,N/A,Não,Não convertida
1500391-46.2018.8.26.0228,Tráfico de Drogas,SÃO PAULO,16ª Vara Criminal,FABIOLA OLIVEIRA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501616-29.2022.8.26.0530,Tráfico de Drogas,Ribeirão Preto,5ª Vara Criminal,Ilona Marcia Bittencourt Cruz,1825,605,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Convertida
1502577-13.2022.8.26.0548,Tráfico de Drogas,Cosmópolis,1ª Vara Judicial,Maria Thereza Nogueira Pinto,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Convertida
1503167-13.2021.8.26.0196,Tráfico de Drogas,Franca,3ª Vara Criminal,Orlando Brossi Júnior,2430,3240,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,N/A,Não,Não convertida
1501117-12.2021.8.26.0617,Tráfico de Drogas,São José dos Campos,5ª Vara Criminal,Dra. Marise Terra Pinto Bourgogne de Almeida,2190,2555,N/A,N/A,N/A,N/A,N/A,Múltiplas condenações,N/A,Sim,N/A,N/A,N/A
1500574-65.2020.8.26.0545,Tráfico de Drogas,Atibaia,Vara do Juizado Especial Cível e Criminal,José Augusto Reis de Toledo Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,N/A,N/A
1501055-58.2020.8.26.0535,Tráfico de Drogas,Guarulhos,2ª Vara Criminal,Caio Ferraz de Camargo Lopasso,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500538-66.2021.8.26.0196,Tráfico de Drogas,Franca,3ª Vara Criminal,Dr(a). Orlando Brossi Júnior,N/A,N/A,Sim,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1502317-77.2019.8.26.0535,Tráfico de Drogas,Guarulhos,3ª Vara Criminal,Luciano De Moura Cruz,1825,705,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Sim,N/A,Sim,Convertida
1503158-45.2020.8.26.0274,Tráfico de Drogas,Itápolis,1ª Vara,VINICIUS GONCALVES PORTO NASCIMENTO,2920,3405,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1502378-79.2021.8.26.0530,Tráfico de Drogas,Jardinópolis,1ª Vara,Mariana Tonoli Angeli,500,583,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1511641-37.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,2125,2480,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1502504-79.2019.8.26.0537,Tráfico de Drogas,São Bernardo do Campo,3ª Vara Criminal,Edegar de Sousa Castro,2190,730,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Convertida
1500762-87.2022.8.26.0545,Tráfico de Drogas,Atibaia,3ª Vara Criminal,Leonardo Marzola Colombini,N/A,N/A,N/A,N/A,Maus antecedentes,N/A,N/A,Uma condenação,Não,Não,N/A,Não,N/A
1002951-43.2019.8.26.0564,Tráfico de Drogas,São Bernardo do Campo,3ª Vara Criminal,Edegar de Sousa Castro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500255-55.2021.8.26.0580,Tráfico de Drogas,Maracai,Vara Única,Dr. Zander Barbosa Dalcin,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1500820-78.2019.8.26.0583,Tráfico de Drogas,Presidente Prudente,3ª Vara Criminal,Dra. Sizara Corral de Arêa Leão Muniz Andrade,500,333,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,N/A,Sim,Convertida
1500005-13.2022.8.26.0022,Tráfico de Drogas,Amparo,Juizado Especial Cível e Criminal,Fernando Leonardi Campanella,N/A,180,Não,Não,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Sim,N/A,Não,Não convertida
1502603-57.2021.8.26.0544,Tráfico de Drogas,Cajamar,2ª Vara Judicial,RICARDO VENTURINI BROSCO,N/A,N/A,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500092-91.2022.8.26.0628,Tráfico de Drogas,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,2190,1825,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
0002602-64.2022.8.26.0269,Tráfico de Drogas,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,1825,2125,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
0011117-88.2011.8.26.0038,Tráfico de Drogas,Araras,Vara Criminal,Dr(a). Rafael Pavan de Moraes Filgueira,N/A,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Convertida
1508388-75.2021.8.26.0228,Tráfico de Drogas,São Paulo,23ª Vara Criminal,Cynthia Torres Cristófaro,500,200,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1500130-80.2022.8.26.0571,Tráfico de Drogas,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,1825,2125,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1501584-32.2021.8.26.0571,Tráfico de Drogas,Itapetininga,1ª Vara Criminal,ANDRE LUIS BASTOS,1825,1825,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Sim,Não,N/A,Não,Não convertida
1500427-26.2022.8.26.0559,Tráfico de Drogas,São José do Rio Preto,1ª Vara Criminal,LUCIANA CASSIANO ZAMPERLINI COCHITO,2430,2430,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
0053214-57.2017.8.26.0050,Tráfico de Drogas,SÃO PAULO,6ª Vara Criminal,Dr(a). Margot Chrysostomo Corrêa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500067-43.2022.8.26.0575,Tráfico de Drogas,São José do Rio Pardo,1ª Vara,WYLDENSOR MARTINS SOARES,2430,3311,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1527585-65.2021.8.26.0050,Tráfico de Drogas,SÃO PAULO,11ª Vara Criminal,J.Paulo camargo magano,2125,705,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1500569-81.2021.8.26.0618,Tráfico de Drogas,Caçapava,Vara Criminal,Gustavo de Campos Machado,N/A,2555,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1500422-63.2021.8.26.0583,Tráfico de Drogas,Pirapozinho,1ª Vara Judicial,ADRIANO CAMARGO PATUSSI,500,167,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Igual à base,Sim,Convertida
1501882-51.2019.8.26.0229,Tráfico de Drogas,Hortolândia,1ª Vara Criminal da Comarca de Hortolândia,André Forato Anhê,2430,3545,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1501646-44.2021.8.26.0548,Tráfico de Drogas,Campinas,6ª Vara Criminal,JOSE GUILHERME DI RIENZO MARREY,500,600,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1500403-71.2021.8.26.0546,Tráfico de Drogas,Mogi-Mirim,4Âª Vara,Maria Raquel Campos Pinto Tilkian Neves,500,291,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Igual à base,Não,Convertida
1501487-85.2021.8.26.0618,Tráfico de Drogas,Tremembé,2ª Vara,JULIANA GUIMARAES ORNELLAS,2125,2893,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,N/A,Não,Não convertida
1501677-92.2021.8.26.0571,Tráfico de Drogas,Tatuí,2ª Vara Criminal,FABRÍCIO ORFEO ARAÚJO,N/A,N/A,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,N/A,Não,Não convertida
1500311-12.2021.8.26.0282,Tráfico de Drogas,Itatinga,Vara Única,GUILHERME ROCHA OLIVA,500,583,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Não,Não convertida
0045787-09.2017.8.26.0050,Tráfico de Drogas,SÃO PAULO,9ª Vara Criminal,Tatiana Franklin Regueira,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Não,Diferente da base,Sim,Não convertida
1500154-52.2020.8.26.0580,Tráfico de Drogas,Paraguaçu Paulista,3ª Vara,VICTOR GAVAZZI CESAR,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,N/A,Sim,Convertida
1500106-13.2021.8.26.0369,Tráfico de Drogas,Monte Aprazível,1ª Vara,Dr(a). Kerla Karen Ramalho de Castilho Magrini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501996-22.2021.8.26.0616,Tráfico de Drogas,Ferraz de Vasconcelos,1ª Vara,Dr(a). Rogério Márcio Teixeira,N/A,2480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501889-76.2020.8.26.0530,Tráfico de Drogas,Ribeirão Preto,1ª Vara Criminal,Guaracy Sibille Leite,N/A,3040,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1500275-17.2022.8.26.0546,Tráfico de Drogas,Mogi-Guaçu,Vara Criminal,PAULO ROGÉRIO MALVEZZI,500,600,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1501295-08.2020.8.26.0548,Tráfico de Drogas,Campinas,2ª Vara Criminal,BRUNO LUIZ CASSIOLATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502987-42.2020.8.26.0548,Tráfico de Drogas,Campinas,4ª Vara Criminal,BRUNO LUIZ CASSIOLATO,N/A,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,Não,Não,N/A,N/A,N/A,N/A
1500095-37.2022.8.26.0631,Tráfico de Drogas,Pedreira,1ª Vara,IOHANA FRIZZARINI EXPOSITO,1825,1825,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1500216-32.2021.8.26.0621,Tráfico de Drogas,Cruzeiro,Vara Criminal,ANDERSON DA SILVA ALMEIDA,500,166,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Igual à base,Sim,Convertida
1500371-10.2022.8.26.0618,Tráfico de Drogas,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,500,583,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1500556-73.2021.8.26.0621,Tráfico de Drogas,Cruzeiro,Vara Criminal,Dr(a). ANDERSON DA SILVA ALMEIDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000010-36.2022.8.26.0558,Tráfico de Drogas,Tabapuã,Vara Única,Patrícia da Conceição Santos,3650,3545,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1508169-28.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,29ª Vara Criminal,Tatiana Franklin Regueira,365,365,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Não,Diferente da base,Não,Convertida
1500975-72.2021.8.26.0628,Tráfico de Drogas,Taboão da Serra,1ª Vara Criminal da Comarca de Taboão da Serra,Gustavo de Azevedo Marchi,2125,2480,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
